rating,title,text,date
5,,owsom,2026-07-02
1,,Do not join groww MF Prime. They offer only regular funds. You can't invest in Direct funds. Who the hell offers regular fund these days. I felt cheated when my money got into regular fund . Now Iam supposed to pay STCG tax and 1% exit load just for switching to direct fund. Trust has been broken!!!!,2026-07-02
5,,Good apps,2026-07-02
1,,Last few months this app is unusable. every time page fail to load page fail to load even when there is good internet connection.,2026-07-02
5,,Excellent,2026-07-02
5,,ok,2026-07-02
5,,india ka number one application,2026-07-02
4,,excellent,2026-07-02
5,,nice,2026-07-02
5,,nice,2026-07-02
5,,nice ☺️,2026-07-02
5,,nice 👍,2026-07-02
1,,good,2026-07-02
4,,nice,2026-07-02
5,,best in the world no 1 groww,2026-07-02
5,,this is great app for new traders,2026-07-02
5,,nice pic 🤩,2026-07-02
5,,Good,2026-07-02
5,,Thik hai.,2026-07-02
5,,very good work 💯,2026-07-02
5,,vgood,2026-07-02
5,,nice investment app ❤️,2026-07-02
5,,good👍,2026-07-02
5,,good app,2026-07-02
5,,very nice app,2026-07-02
5,,good,2026-07-02
5,,this is best app,2026-07-02
5,,good,2026-07-02
3,,आपका ऐप बहुत बढ़िया है लेकिन हर कुछ महीने के बाद अपडेट आता है और सबसे घटिया कौन सी बात होगी तो वह है अपडेट करने के बाद जो सेटअप होते चार्ट पर वह गायब हो जाते हैं जिससे बहुत परेशानी होती है हर कुछ महिने के बाद बार बार सेटअप को बनाना पड रहा है यह परेशानी को हल करो जब भी अपडेट हो चार्ट पर लगे सेटअप वैसा ही रहें बाकी ब्रोकिंग ऐप में यह प्रोबलम नहीं हैं,2026-07-02
5,,good 👍,2026-07-02
3,,very good aap,2026-07-02
5,,nice app*,2026-07-02
1,,"I bought an Aye Finance Ltd bond through Groww, but my payout has not been credited. Despite investing through their platform, Groww has refused to help and said I must deal directly with the RTA, offering no support. This kind of response is very concerning for investors. People invest their hard-earned money expecting basic assistance when issues arise, but there is no support when it is actually needed. I would strongly advise others to be careful before relying on this platform 4 investment",2026-07-02
5,,excellent,2026-07-02
5,,wow super appreciate,2026-07-02
5,,easy to understand,2026-07-02
5,,good,2026-07-02
5,,"I have had a very good experience using Groww. The app is simple, user-friendly, and makes investing in stocks, mutual funds, and other financial products easy, even for beginners. Account opening was smooth, transactions are fast, and the interface is clean and intuitive. Overall, Groww is a reliable platform for anyone looking to start or grow their investment journey. Highly recommend",2026-07-02
5,,Good Investment App,2026-07-02
5,,nice 🙂,2026-07-02
5,,Good,2026-07-02
5,,good,2026-07-02
1,,worst app to trade,2026-07-02
